blurb,category,country,created_at,currency,deadline,fx_rate,goal,launched_at,name,staff_pick,location,funded,subcategory,project_url,reward_url,dbl,dbd
artist residence studio summer stretch wing land,art,US,1325980505,USD,1334866560,1.0,2800.0,1332969260,Elsewhere Studios artist-in-residency program!,False,"Paonia, CO",True,mixed media,https://www.kickstarter.com/projects/hilaryemersonlay/elsewhere-studios-artist-in-residency-program,https://www.kickstarter.com/projects/hilaryemersonlay/elsewhere-studios-artist-in-residency-program/rewards,80,21
artist public art installation washington mall occur january,art,US,1330926084,USD,1336440145,1.0,4500.0,1332984145,1000 Artists: Presidential Inauguration 2013,False,"Washington, DC",True,public art,https://www.kickstarter.com/projects/17146650/1000-artists-presidential-inauguration-2013,https://www.kickstarter.com/projects/17146650/1000-artists-presidential-inauguration-2013/rewards,23,40
sequel favorite machine myphonehenge celebrate community virtual real world,art,US,1332382894,USD,1338175739,1.0,5000.0,1332991739,MyPhoneHenge,False,"Frisco, TX",True,sculpture,https://www.kickstarter.com/projects/belveal/myphonehenge,https://www.kickstarter.com/projects/belveal/myphonehenge/rewards,7,60
film explore role value art education today history seminal california institute art,art,GB,1332342451,USD,1334806096,1.0,6500.0,1332991696,Walk-Through,False,"Glasgow, UK",True,art,https://www.kickstarter.com/projects/1078130915/walk-through,https://www.kickstarter.com/projects/1078130915/walk-through/rewards,7,21
need build kitchen habitable space self sustain farm artist residency ranch texas,art,US,1328562617,USD,1335584240,1.0,15000.0,1332992240,A kitchen for Habitable Spaces,False,"Kingsbury, TX",True,public art,https://www.kickstarter.com/projects/1044092769/a-kitchen-for-habitable-spaces,https://www.kickstarter.com/projects/1044092769/a-kitchen-for-habitable-spaces/rewards,51,30
source material person exhibition painting brian dupont chris rusak skydive artspace houston texas,art,US,1331239703,USD,1336090320,1.0,600.0,1333017856,Source Material: Works by Brian Dupont and Chris Rusak,False,"Houston, TX",True,painting,https://www.kickstarter.com/projects/973860748/source-material-works-by-brian-dupont-and-chris-ru,https://www.kickstarter.com/projects/973860748/source-material-works-by-brian-dupont-and-chris-ru/rewards,20,35
anthropological field study dwarven race,art,US,1332802530,USD,1334030340,1.0,2000.0,1333045464,A Book of Dwarves,False,"Chicago, IL",True,art,https://www.kickstarter.com/projects/1367577087/a-book-of-dwarves,https://www.kickstarter.com/projects/1367577087/a-book-of-dwarves/rewards,2,11
portrait artist seek fund kickstart exciting year long project involve produce draw paint tutorial video,art,US,1331325438,USD,1335671940,1.0,10000.0,1332822807,Drawing a Drawing 365,True,"New Britain, CT",True,painting,https://www.kickstarter.com/projects/michaelshapcott/drawing-a-drawing-365,https://www.kickstarter.com/projects/michaelshapcott/drawing-a-drawing-365/rewards,17,32
month long residency vermont studio center create body work deal current environmental situation,art,US,1331904129,USD,1336736610,1.0,2800.0,1332848610,The Vermont Studio Center Artist Residency Program,True,"Johnson, VT",True,painting,https://www.kickstarter.com/projects/1063252734/the-vermont-studio-center-artist-residency-program,https://www.kickstarter.com/projects/1063252734/the-vermont-studio-center-artist-residency-program/rewards,10,45
art music theater live waterfront free,art,US,1330979179,USD,1335443088,1.0,5000.0,1332851088,Arts on the Waterfront,False,"Seattle, WA",True,public art,https://www.kickstarter.com/projects/1398518902/arts-on-the-waterfront,https://www.kickstarter.com/projects/1398518902/arts-on-the-waterfront/rewards,21,30
mixed medium thesis installation visitor wade enigmatic vibrant plaster cast topography opening,art,US,1331703564,USD,1334593200,1.0,1450.0,1332866442,Despierta: Experiments in Topography and Lucid Prayer,False,"Oberlin, OH",True,mixed media,https://www.kickstarter.com/projects/rtcstudio/despierta-experiments-in-topography-and-lucid-pray,https://www.kickstarter.com/projects/rtcstudio/despierta-experiments-in-topography-and-lucid-pray/rewards,13,19
artist book project bring text image artist field create artwork idea erasure,art,US,1330483906,USD,1334705215,1.0,4500.0,1332890815,Issue: Erasure,False,"Minneapolis, MN",True,mixed media,https://www.kickstarter.com/projects/1568925165/issue-erasure,https://www.kickstarter.com/projects/1568925165/issue-erasure/rewards,27,21
artist initiative present current mandala group exhibition east village,art,US,1332611253,USD,1335068240,1.0,500.0,1332908240,Just Us Third Group Exhibition,False,"New York, NY",True,public art,https://www.kickstarter.com/projects/1893483618/just-us-third-group-exhibition,https://www.kickstarter.com/projects/1893483618/just-us-third-group-exhibition/rewards,3,25
open source guerrilla wayfinde project focus help create safe healthy walkable environment,art,US,1325538194,USD,1335718137,1.0,5800.0,1332953337,Walk [Your City],True,"Raleigh, NC",True,public art,https://www.kickstarter.com/projects/cityfabric/walk-your-city,https://www.kickstarter.com/projects/cityfabric/walk-your-city/rewards,85,32
assist elysium artwork raise fund material fee essential create artwork material include paint stationary,art,US,1332518159,USD,1335552097,1.0,135.5,1332960097,Raise money for art materials!,False,"Las Vegas, NV",True,mixed media,https://www.kickstarter.com/projects/elysiumartwork/raise-money-for-art-materials,https://www.kickstarter.com/projects/elysiumartwork/raise-money-for-art-materials/rewards,5,30
boston cod piece giant codfish circle regional effigy core burn man structure frame fund,art,US,1332520508,USD,1336417291,1.0,2500.0,1332961291,The Boston Cod Piece - BM Effigy 2012,False,"Boston, MA",True,public art,https://www.kickstarter.com/projects/1614881042/the-boston-cod-piece-bm-effigy-2012-0,https://www.kickstarter.com/projects/1614881042/the-boston-cod-piece-bm-effigy-2012-0/rewards,5,40
help bring urban oasis andersonville participate project turn pavement green open space,art,US,1332273109,USD,1335561228,1.0,5600.0,1332969228,"Build a Parklet in Andersonville, Chicago",False,"Chicago, IL",True,public art,https://www.kickstarter.com/projects/parkletaville/build-a-parklet-in-andersonville-chicago,https://www.kickstarter.com/projects/parkletaville/build-a-parklet-in-andersonville-chicago/rewards,8,30
project t shirt simply björk swan dress project launch complete hour,art,US,1326499938,USD,1329498000,1.0,180.0,1329411387,Björk Swan Dress T-Shirt,True,"Brooklyn, NY",True,conceptual art,https://www.kickstarter.com/projects/thereport/bjork-swan-dress-t-shirt,https://www.kickstarter.com/projects/thereport/bjork-swan-dress-t-shirt/rewards,33,1
bring contemporary iraqi female artist bomb exhibit mpls barrier break public event collaboration,art,US,1329169967,USD,1330660740,1.0,4000.0,1329421008,NOT ABOUT BOMBS: Bring the Artists to Minneapolis,False,"Minneapolis, MN",True,conceptual art,https://www.kickstarter.com/projects/464385634/not-about-bombs-bring-the-artists-to-minneapolis,https://www.kickstarter.com/projects/464385634/not-about-bombs-bring-the-artists-to-minneapolis/rewards,2,14
mpl usa art tour interactive public art project co create positive art energy mass manifest mobile,art,US,1329088601,USD,1332021858,1.0,3000.0,1329433458,MPL-USA Art Tour: Sharing Positive Energy from Sea to Sea,False,"Savannah, GA",True,public art,https://www.kickstarter.com/projects/221621316/mpl-usa-art-tour-sharing-positive-energy-from-sea,https://www.kickstarter.com/projects/221621316/mpl-usa-art-tour-sharing-positive-energy-from-sea/rewards,3,29
leg work print ny help ensure reach,art,US,1329267762,USD,1332110466,1.0,2500.0,1329522066,"Beck Lane: my first one man show in Brooklyn, NY!",False,"Providence, RI",True,painting,https://www.kickstarter.com/projects/becklaneartist/beck-lane-artist-taking-my-work-to-ny,https://www.kickstarter.com/projects/becklaneartist/beck-lane-artist-taking-my-work-to-ny/rewards,2,29
